epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4731,2.88527,11.2249,2.32843,0.6474,0.16667,0.14112,0.10774,1.15134,9.84805,1.95477,0,0,0
2,18.8196,2.68445,11.0997,2.35118,1,0.16207,0.16779,0.14276,1.08441,9.4129,1.94269,1.9802e-05,1.9802e-05,1.9802e-05
3,24.9776,3.01643,9.96641,2.26125,0.64713,0.16667,0.16779,0.15101,1.14972,8.8778,1.93782,3.9208e-05,3.9208e-05,3.9208e-05
4,30.3714,2.36309,9.77728,2.05754,0.60928,0.33333,0.35656,0.2346,1.37269,7.69102,1.96241,5.8218e-05,5.8218e-05,5.8218e-05
5,35.5381,2.28104,7.60027,2.01277,0.45061,0.41667,0.30891,0.21985,1.75078,6.57028,1.97069,7.6832e-05,7.6832e-05,7.6832e-05
6,40.7695,2.35413,6.72584,2.1092,0.33573,0.58993,0.45022,0.37296,1.51017,5.99785,1.91388,9.505e-05,9.505e-05,9.505e-05
7,45.8147,2.11553,5.23634,2.0813,0.57123,0.5,0.51369,0.42218,1.48293,5.97864,1.82256,0.000112872,0.000112872,0.000112872
8,50.8912,2.08573,4.16282,1.96511,0.73286,0.5,0.48838,0.39394,1.40628,6.58638,1.81333,0.000130298,0.000130298,0.000130298
9,55.3848,2.05971,4.81063,2.08025,0.48244,0.66667,0.52123,0.45109,1.1151,7.6798,1.78183,0.000147328,0.000147328,0.000147328
10,60.1938,1.73662,3.55637,1.90503,0.61752,0.75,0.68854,0.5942,0.97619,10.4373,1.73981,0.000163962,0.000163962,0.000163962
11,65.261,1.95228,3.52109,1.94533,0.63907,0.73852,0.62577,0.5475,1.06307,12.4457,1.78406,0.0001802,0.0001802,0.0001802
12,70.1746,1.8496,2.79463,1.91855,0.55309,0.58333,0.56515,0.45923,1.35951,12.1602,1.84577,0.000196042,0.000196042,0.000196042
13,75.1407,2.06476,2.66285,1.92482,0.68312,0.5,0.53494,0.42844,1.62874,10.4118,1.90865,0.000211488,0.000211488,0.000211488
14,79.9727,2.11621,2.66639,1.94171,0.52708,0.5,0.55655,0.46952,1.44079,10.5782,1.91464,0.000226538,0.000226538,0.000226538
