epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36914,1.4467,3.27223,1.24798,0.04,1,0.13962,0.11942,0.46249,2.63493,0.89132,0,0,0
2,7.73403,1.37711,3.3088,1.26455,0.04,1,0.13579,0.11607,0.46868,2.63056,0.89435,1.9802e-05,1.9802e-05,1.9802e-05
3,10.8864,1.49638,3.41039,1.24244,0.04,1,0.15052,0.1145,0.48834,2.62866,0.89557,3.9208e-05,3.9208e-05,3.9208e-05
4,13.5787,1.1476,3.25569,1.11807,0.04,1,0.20941,0.14726,0.52658,2.6258,0.89845,5.8218e-05,5.8218e-05,5.8218e-05
5,16.3388,1.18832,3.35011,1.12541,0.04,1,0.22227,0.15374,0.59108,2.61527,0.90219,7.6832e-05,7.6832e-05,7.6832e-05
6,19.2521,1.21139,3.26735,1.16647,0.04,1,0.31429,0.24701,0.63964,2.60269,0.90228,9.505e-05,9.505e-05,9.505e-05
7,22.1343,1.18416,3.30784,1.17466,0.04,1,0.4405,0.28649,0.69191,2.59808,0.90159,0.000112872,0.000112872,0.000112872
8,25.2216,1.14525,3.28548,1.07449,0.04,1,0.51417,0.40257,0.71754,2.5455,0.90513,0.000130298,0.000130298,0.000130298
9,28.2847,1.03692,2.98726,1.04827,0.04,1,0.61565,0.48596,0.59858,2.50787,0.88314,0.000147328,0.000147328,0.000147328
10,30.9171,0.94572,3.03771,0.98373,0.04,1,0.72806,0.59054,0.54245,2.4901,0.87519,0.000163962,0.000163962,0.000163962
11,33.8572,1.05124,3.03603,0.99269,0.04,1,0.74939,0.61209,0.59276,2.46376,0.8745,0.0001802,0.0001802,0.0001802
12,37.0178,1.02861,3.09898,1.00679,0.04,1,0.80993,0.68494,0.63422,2.44955,0.89243,0.000196042,0.000196042,0.000196042
13,40.0799,1.07718,3.02057,0.99218,0.04,1,0.91256,0.7484,0.63794,2.46237,0.9191,0.000211488,0.000211488,0.000211488
