epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,108.099,2.50674,2.09346,3.60952,0,0,0,0,2.91886,4.15276,4.51306,0.00101811,0.00101811,0.00101811
50,110.258,2.44662,2.16333,3.76736,0,0,0,0,2.91886,4.15276,4.51306,0.0010195,0.0010195,0.0010195
51,112.326,2.47296,2.14802,3.57077,0,0,0,0,2.916,4.26769,4.47039,0.00101,0.00101,0.00101
52,114.417,2.48783,2.17265,3.53317,0,0,0,0,2.916,4.26769,4.47039,0.0009902,0.0009902,0.0009902
53,116.575,2.44553,2.19535,3.58678,0,0,0,0,2.916,4.26769,4.47039,0.0009704,0.0009704,0.0009704
54,118.636,2.41183,2.0378,3.59451,0,0,0,0,2.916,4.26769,4.47039,0.0009506,0.0009506,0.0009506
55,120.866,2.46039,2.03225,3.52135,0,0,0,0,2.916,4.26769,4.47039,0.0009308,0.0009308,0.0009308
56,123.406,2.4757,2.02343,3.53663,0,0,0,0,2.916,4.26769,4.47039,0.000911,0.000911,0.000911
57,126.343,2.47386,2.03174,3.45076,0,0,0,0,2.916,4.26769,4.47039,0.0008912,0.0008912,0.0008912
58,129.205,2.51306,2.06916,3.4751,0,0,0,0,2.916,4.26769,4.47039,0.0008714,0.0008714,0.0008714
59,132.094,2.45463,2.13372,3.67283,0,0,0,0,2.90467,4.26956,4.38159,0.0008516,0.0008516,0.0008516
60,134.733,2.36008,2.11325,3.69809,0,0,0,0,2.90467,4.26956,4.38159,0.0008318,0.0008318,0.0008318
61,137.426,2.34558,1.95908,3.43706,0,0,0,0,2.90467,4.26956,4.38159,0.000812,0.000812,0.000812
62,140.068,2.31335,1.99338,3.53975,0,0,0,0,2.90467,4.26956,4.38159,0.0007922,0.0007922,0.0007922
63,142.597,2.36857,2.09894,3.50599,0,0,0,0,2.90467,4.26956,4.38159,0.0007724,0.0007724,0.0007724
64,145.386,2.47544,2.09991,3.46982,0,0,0,0,2.90467,4.26956,4.38159,0.0007526,0.0007526,0.0007526
65,148.17,2.43361,2.02956,3.60038,0,0,0,0,2.90467,4.26956,4.38159,0.0007328,0.0007328,0.0007328
66,151.586,2.38294,2.00557,3.4252,0,0,0,0,2.90467,4.26956,4.38159,0.000713,0.000713,0.000713
67,155.047,2.41048,2.11407,3.65166,0,0,0,0,2.88361,4.13353,4.25059,0.0006932,0.0006932,0.0006932
68,158.504,2.37733,1.99531,3.47835,0,0,0,0,2.88361,4.13353,4.25059,0.0006734,0.0006734,0.0006734
69,161.574,2.44911,1.90731,3.33195,0,0,0,0,2.88361,4.13353,4.25059,0.0006536,0.0006536,0.0006536
70,164.439,2.36198,1.93769,3.44755,0,0,0,0,2.88361,4.13353,4.25059,0.0006338,0.0006338,0.0006338
