epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73873,5.36642,3.59001,4.2603,0,0,0,0,4.30974,3.73059,4.15816,2e-05,2e-05,2e-05
2,5.91118,5.4887,3.66024,4.23411,0,0,0,0,4.30898,3.73081,4.15736,5.9406e-05,5.9406e-05,5.9406e-05
3,7.8272,5.28114,3.54711,4.23528,0,0,0,0,4.30829,3.73114,4.1565,9.802e-05,9.802e-05,9.802e-05
4,9.72135,4.78204,3.46357,4.25299,0,0,0,0,4.3078,3.73157,4.15562,0.000135842,0.000135842,0.000135842
5,11.6076,5.09282,3.46489,4.2223,0,0,0,0,4.30771,3.73218,4.15476,0.000172872,0.000172872,0.000172872
6,13.5389,5.76826,3.49192,4.14468,0,0,0,0,4.30771,3.73218,4.15476,0.00020911,0.00020911,0.00020911
7,15.7402,5.67714,3.37139,4.10836,0,0,0,0,4.3083,3.73367,4.1534,0.000244556,0.000244556,0.000244556
8,18.5838,5.98487,3.40079,4.09683,0,0,0,0,4.31015,3.7358,4.15229,0.00027921,0.00027921,0.00027921
9,21.1386,4.67951,3.17051,4.1192,0,0,0,0,4.31015,3.7358,4.15229,0.000313072,0.000313072,0.000313072
10,24.1023,5.22553,3.23546,4.06816,0,0,0,0,4.31484,3.73988,4.15089,0.000346142,0.000346142,0.000346142
11,26.7248,4.68908,3.11255,4.06365,0,0,0,0,4.31484,3.73988,4.15089,0.00037842,0.00037842,0.00037842
12,29.3118,4.65623,3.1037,4.05386,0,0,0,0,4.3236,3.74598,4.15006,0.000409906,0.000409906,0.000409906
13,32.179,4.49171,2.98017,4.01772,0,0,0,0,4.3236,3.74598,4.15006,0.0004406,0.0004406,0.0004406
14,35.4519,4.95182,2.90659,3.93616,0,0,0,0,4.3236,3.74598,4.15006,0.000470502,0.000470502,0.000470502
15,38.201,4.23844,2.83284,4.01377,0,0,0,0,4.3396,3.75582,4.15089,0.000499612,0.000499612,0.000499612
16,41.0395,4.21177,2.73052,3.9563,0,0,0,0,4.3396,3.75582,4.15089,0.00052793,0.00052793,0.00052793
17,43.8302,4.65301,2.73518,3.89832,0,0,0,0,4.3396,3.75582,4.15089,0.000555456,0.000555456,0.000555456
18,46.8206,4.73929,2.7331,3.83534,0,0,0,0,4.37333,3.77238,4.15749,0.00058219,0.00058219,0.00058219
19,48.8389,4.13258,2.49361,3.87726,0,0,0,0,4.37333,3.77238,4.15749,0.000608132,0.000608132,0.000608132
20,50.8131,4.57403,2.65838,3.83369,0,0,0,0,4.37333,3.77238,4.15749,0.000633282,0.000633282,0.000633282
21,52.8676,4.39801,2.62315,3.84339,0,0,0,0,4.4413,3.80002,4.18475,0.00065764,0.00065764,0.00065764
22,54.8536,4.23601,2.42589,3.7568,0,0,0,0,4.4413,3.80002,4.18475,0.000681206,0.000681206,0.000681206
23,56.7679,3.79494,2.51344,3.89648,0,0,0,0,4.4413,3.80002,4.18475,0.00070398,0.00070398,0.00070398
24,58.6874,4.05982,2.55476,3.90532,0,0,0,0,4.4413,3.80002,4.18475,0.000725962,0.000725962,0.000725962
